DELIFISH PANAMA S,A. 	         	       	                             	     	             	           	Fecha:    	22/01/2019
50944-12494          	ACI-59084	3673   	HOTELERA RH, S.A.            	     	5,469.03     	0.00       	0.00      	.00       
50944-N4787          	ACI-11747	0285   	VIVERES UNIDOS               	     	0.00         	0.00       	337.83    	.00       
50944-N4788          	ACI-11748	0434   	HOSPITAL HOGAR DE ESPERANZA  	     	0.00         	0.00       	1,904.39  	.00       
50944-N4789          	ACI-11751	0452   	PRICESMART PANAMA,S .A.      	     	0.00         	0.00       	22.91     	.00       
50944-N4790          	ACI-11753	0452   	PRICESMART PANAMA,S .A.      	     	0.00         	0.00       	10.08     	.00       
50944-N4791          	ACI-11755	0563   	PRICESMART PANAMA, S.A.      	     	0.00         	0.00       	2.62      	.00       
50944-N4792          	ACI-11757	0563   	PRICESMART PANAMA, S.A.      	     	0.00         	0.00       	16.83     	.00       
                     	         	       	                             	Total	$ 57,441.07  	$ 12,182.52	$ 6,299.30	$ .00     
Total de documentos: 	132      	       	                             	     	             	           	          	          
Factura de ventas    	         	       	                             	     	             	           	          	          
Contado              	         	       	$ 12,182.52                  	     	             	           	          	          
Credito              	         	       	$ 57,441.07                  	     	             	           	          	          
Total                	         	       	$ 69,623.59                  	     	             	           	          	          
Notas de credito     	         	       	                             	     	             	           	          	          
Anulación            	         	       	$ 6,052.96                   	     	             	           	          	          
Descuento de Venta   	         	       	$ 96.85                      	     	             	           	          	          
Nota de Crédito      	         	       	$ 149.49                     	     	             	           	          	          
Total                	         	       	$ 6,299.30                   	     	             	           	          	          
22 de enero de 2019  	         	       	                             	     	Página 1 de 1	           	          	          
